Adversarial Examples,Time(s),Length of Adversarial Examples
"(18/1, 9/1, 21/1, 27/1, 56/1, 58/1, 59/1, 24/1, 6/1, 22/1, 21/1)",141.923,11
"(22/1, 28/1, 60/1, 59/1, 58/1, 40/1, 15/1, 43/1, 34/1, 6/1, 22/1, 52/1, 5/1, 22/1)",141.948,14
"(33/1, 27/1, 14/1, 10/1, 58/1, 9/1, 12/1, 59/1, 58/1, 57/1, 57/1, 24/1, 27/1, 16/1, 12/1, 28/1, 29/1, 46/1)",142.2,18
"(17/1, 2/1, 26/1, 1/1, 33/1, 59/1, 7/1, 59/1, 34/1, 35/1, 36/1, 35/1, 22/1, 29/1, 46/1, 51/1, 54/1)",143.109,17
"(22/1, 44/1, 51/1, 33/1, 57/1, 54/1, 56/1, 57/1, 57/1, 26/1, 52/1, 21/1, 12/1)",143.649,13
"(31/1, 17/1, 56/1, 43/1, 45/1, 46/1, 20/1, 19/1, 7/1, 33/1, 31/1, 28/1, 53/1)",143.652,13
"(46/1, 24/1, 26/1, 21/1, 34/1, 53/1, 57/1, 26/1, 14/1, 50/1, 51/1, 52/1, 25/1, 4/1, 48/1, 22/1)",144.221,16
"(47/1, 35/1, 52/1, 56/1, 45/1, 46/1, 47/1, 14/1, 23/1, 40/1, 6/1, 17/1, 1/1, 32/1, 31/1)",144.807,15
"(44/1, 56/1, 26/1, 49/1, 34/1, 40/1, 41/1, 41/1, 50/1, 34/1, 14/1, 56/1, 5/1, 35/1)",148.631,14
"(3/1, 58/1, 31/1, 21/1, 22/1, 49/1, 35/1, 56/1, 57/1, 58/1, 52/1, 22/1)",149.86,12
"(57/1, 47/1, 31/1, 23/1, 34/1, 19/1, 27/1, 47/1, 49/1, 50/1, 33/1, 26/1, 16/1)",149.96,13
"(28/1, 49/1, 50/1, 51/1, 54/1, 40/1, 36/1, 53/1, 50/1, 46/1, 49/1, 44/1, 40/1, 35/1)",150.381,14
"(38/1, 41/1, 17/1, 44/1, 31/1, 40/1, 41/1, 41/1, 30/1, 58/1, 48/1, 12/1, 35/1, 45/1, 7/1, 4/1)",151.511,16
"(26/1, 4/1, 10/1, 57/1, 33/1, 57/1, 59/1, 60/1, 47/1, 2/1, 18/1, 55/1, 49/1, 31/1, 9/1, 58/1, 27/1, 56/1, 13/1, 29/1)",151.587,20
"(50/1, 51/1, 52/1, 2/1, 58/1, 42/1, 28/1, 11/1, 53/1, 17/1, 20/1, 4/1, 44/1)",152.208,13
"(22/1, 49/1, 50/1, 51/1, 39/1, 42/1, 15/1, 44/1, 20/1, 56/1, 11/1, 55/1, 24/1, 57/1, 42/1, 40/1, 27/1, 36/1)",152.863,18
"(14/1, 6/1, 31/1, 4/1, 59/1, 10/1, 56/1, 38/1, 8/1, 42/1, 34/1, 35/1, 36/1, 26/1)",153.469,14
"(28/1, 40/1, 59/1, 50/1, 49/1, 9/1, 36/1, 25/1, 43/1, 56/1, 38/1, 41/1, 42/1, 42/1)",153.789,14
"(5/1, 44/1, 46/1, 3/1, 47/1, 49/1, 50/1, 21/1, 51/1, 52/1, 32/1, 41/1)",155.106,12
"(28/1, 35/1, 53/1, 54/1, 55/1, 40/1, 27/1, 6/1, 35/1, 53/1, 10/1, 52/1, 32/1, 33/1, 54/1, 26/1, 48/1, 42/1, 59/1)",155.244,19
"(48/1, 37/1, 38/1, 39/1, 42/1, 46/1, 57/1, 23/1, 38/1, 11/1, 31/1, 17/1, 56/1, 43/1, 50/1, 37/1, 20/1)",156.797,17
"(16/1, 30/1, 47/1, 49/1, 50/1, 48/1, 12/1, 44/1, 23/1, 11/1, 26/1, 54/1)",156.957,12
"(56/1, 49/1, 58/1, 57/1, 56/1, 60/1, 52/1, 22/1, 12/1, 38/1, 60/1, 33/1)",157.136,12
