Adversarial Examples,Time(s),Mem Queries asked before,Total sequences asked before,Mem Query?
"(42.0, 48.0, 16.0, 42.0, 48.0, 22.0, 26.0, 16.0, 43.0, 26.0, 26.0, 48.0)",10916.735,597,604,Y
"(45.0, 30.0, 49.0, 45.0, 30.0, 53.0, 24.0, 49.0, 59.0, 24.0, 24.0, 49.0)",10916.736,598,605,Y
"(4.0, 15.0, 15.0, 4.0, 15.0, 2.0, 25.0, 15.0, 41.0, 25.0, 25.0, 2.0)",10916.736,599,606,Y
"(35.0, 8.0, 30.0, 35.0, 8.0, 17.0, 21.0, 30.0, 54.0, 21.0, 8.0, 35.0)",10916.781,602,609,Y
"(8.0, 14.0, 55.0, 8.0, 14.0, 58.0, 10.0, 55.0, 46.0, 10.0, 14.0, 58.0)",10916.785,606,613,Y
"(48.0, 7.0, 42.0, 48.0, 7.0, 37.0, 2.0, 42.0, 40.0, 2.0, 7.0, 40.0)",10916.786,607,614,Y
"(10.0, 29.0, 36.0, 10.0, 29.0, 6.0, 12.0, 36.0, 38.0, 12.0, 36.0, 6.0)",10916.829,613,620,Y
"(54.0, 23.0, 57.0, 54.0, 23.0, 41.0, 13.0, 57.0, 39.0, 13.0, 41.0, 54.0)",10916.865,616,623,Y
"(12.0, 22.0, 5.0, 12.0, 22.0, 52.0, 47.0, 5.0, 29.0, 47.0, 52.0, 29.0)",10916.869,621,628,Y
"(12.0, 44.0, 2.0, 12.0, 44.0, 54.0, 36.0, 2.0, 44.0, 44.0, 55.0, 44.0)",14584.284,632,639,Y
"(26.0, 1.0, 16.0, 26.0, 1.0, 52.0, 33.0, 16.0, 58.0, 1.0, 15.0, 52.0)",14584.287,635,642,Y
"(17.0, 21.0, 36.0, 17.0, 21.0, 33.0, 37.0, 36.0, 39.0, 21.0, 10.0, 39.0)",14584.288,636,643,Y
"(33.0, 4.0, 37.0, 33.0, 4.0, 19.0, 42.0, 37.0, 15.0, 4.0, 42.0, 37.0)",14584.363,648,655,Y
"(24.0, 17.0, 34.0, 24.0, 17.0, 49.0, 32.0, 34.0, 58.0, 17.0, 17.0, 32.0)",14584.403,653,660,Y
"(17.0, 45.0, 12.0, 17.0, 45.0, 19.0, 5.0, 12.0, 60.0, 45.0, 45.0, 12.0)",14584.404,655,662,Y
"(18.0, 10.0, 16.0, 18.0, 10.0, 45.0, 52.0, 16.0, 60.0, 10.0, 10.0, 45.0)",14584.405,656,663,Y
"(3.0, 41.0, 20.0, 3.0, 41.0, 39.0, 10.0, 20.0, 10.0, 41.0, 39.0, 3.0)",14584.484,666,673,Y
